date,humidity (grams of water vapor per cubic meter volume of air)
6/3/2016,40.6875
6/4/2016,42.06666667
6/5/2016,51.75
6/6/2016,45.71428571
6/7/2016,59.1875
6/8/2016,44.64285714
6/9/2016,43.73333333
6/10/2016,41.86666667
6/11/2016,49.9375
6/12/2016,37.125
6/13/2016,43.3125
6/14/2016,55.125
6/15/2016,48.86666667
6/16/2016,51.28571429
6/17/2016,52.25
6/18/2016,50.57142857
6/19/2016,53.25
6/20/2016,73.9375
6/21/2016,62.1875
6/22/2016,60.8125
6/23/2016,51.61538462
6/24/2016,46.5625
6/25/2016,55.92857143
6/26/2016,57.46666667
6/27/2016,61.25
6/28/2016,75.07142857
6/29/2016,58.875
6/30/2016,60.2
7/1/2016,73.4
7/2/2016,80
7/3/2016,78.125
7/4/2016,76.3125
7/5/2016,68.6875
7/6/2016,64.06666667
7/7/2016,63
7/8/2016,75.86666667
7/9/2016,66.0625
7/10/2016,65.6875
7/11/2016,71.9375
7/12/2016,80.1875
7/13/2016,76.3125
7/14/2016,80.4375
7/15/2016,78.0625
7/16/2016,93.875
7/17/2016,86.5625
7/18/2016,91.26666667
7/19/2016,69.125
7/20/2016,59.5625
7/21/2016,56.86666667
7/22/2016,56.125
7/23/2016,66
7/24/2016,72.25
7/25/2016,69.125
7/26/2016,82
7/27/2016,88.25
7/28/2016,81.33333333
7/29/2016,92.4375
7/30/2016,92.26666667
7/31/2016,83.13333333
8/1/2016,84.25
8/2/2016,72.125
8/3/2016,63.5625
8/4/2016,63.88888889
8/5/2016,61.66666667
8/6/2016,76
8/7/2016,65.17647059
8/8/2016,62.38095238
8/9/2016,71.65384615
8/10/2016,71.25925926
8/11/2016,89.46428571
8/12/2016,85
8/13/2016,77.07142857
8/14/2016,83.7
8/15/2016,67.64285714
8/16/2016,66.41666667
8/17/2016,72.5
8/18/2016,79.81481481
8/19/2016,68.28571429
8/20/2016,66.48148148
8/21/2016,68.07407407
8/22/2016,65.55555556
8/23/2016,70.08
8/24/2016,79.28571429
8/25/2016,72.44
8/26/2016,73.81481481
8/27/2016,70.28571429
8/28/2016,66.24
8/29/2016,82.32142857
8/30/2016,76.8
8/31/2016,89.55555556
9/1/2016,87.24
9/2/2016,71.73913043
9/3/2016,62.68421053
9/4/2016,59.30769231
9/5/2016,60.30769231
9/6/2016,55
9/7/2016,57.7
9/8/2016,58
9/9/2016,56.66666667
9/10/2016,58.23076923
9/11/2016,56.4
9/12/2016,55.5
9/13/2016,57.06666667
9/14/2016,70.35714286
9/15/2016,59.63636364
9/16/2016,58
9/17/2016,58
9/18/2016,58.83333333
9/19/2016,59.45833333
9/20/2016,54.07407407
9/21/2016,58.96
9/22/2016,67.62962963
9/23/2016,66.10714286
9/24/2016,66.48
9/25/2016,62.30434783
9/26/2016,60.88
9/27/2016,57.81481481
9/28/2016,55.28
9/29/2016,61.31818182
9/30/2016,59.35714286
10/1/2016,61.91666667
10/2/2016,61.81481481
10/3/2016,59.57692308
10/4/2016,69.81481481
10/5/2016,71.875
10/6/2016,64.81481481
10/7/2016,59.96
10/8/2016,57.96
10/9/2016,59.2
10/10/2016,51.11111111
10/11/2016,51.14814815
10/12/2016,47.28571429
10/13/2016,44
10/14/2016,47.875
10/15/2016,54.14814815
10/16/2016,49.85714286
10/17/2016,49.24
10/18/2016,48.45833333
10/19/2016,49.18518519
10/20/2016,47.73076923
10/21/2016,50.40909091
10/22/2016,49.48148148
10/23/2016,54.96153846
10/24/2016,51.42307692
10/25/2016,54.56
10/26/2016,56.19230769
10/27/2016,59.37037037
10/28/2016,58.77777778
10/29/2016,62.77777778
10/30/2016,71.04347826
10/31/2016,66.80769231
11/1/2016,58.73076923
11/2/2016,65.90909091
11/3/2016,59.76
11/4/2016,58.2962963
11/5/2016,66.57692308
11/6/2016,63.85185185
11/7/2016,51.31818182
11/8/2016,52.26923077
11/9/2016,49.7037037
11/10/2016,50.14814815
11/11/2016,54.04
11/12/2016,58.03846154
11/13/2016,55.81481481
11/14/2016,60.73076923
11/15/2016,55.72
11/16/2016,53.23076923
11/17/2016,51.73076923
11/18/2016,53.61538462
11/19/2016,60.66666667
11/20/2016,59.9
11/21/2016,60.46153846
11/22/2016,50.15789474
11/23/2016,51.43478261
11/24/2016,51.47368421
11/25/2016,30.55
11/26/2016,32.64705882
11/27/2016,33.63636364
11/28/2016,37.31818182
11/29/2016,53.72222222
11/30/2016,80.08695652
12/1/2016,84
12/2/2016,75.875
12/3/2016,52.16666667
12/4/2016,55.25
12/5/2016,56.59090909
12/6/2016,69.92307692
12/7/2016,74.35
12/8/2016,73.3
12/9/2016,68.125
12/10/2016,82.83333333
12/11/2016,69.58333333
12/12/2016,63.86363636
12/13/2016,62.35
12/14/2016,58.61111111
12/15/2016,56.625
12/16/2016,63.27777778
12/17/2016,63.38888889
12/18/2016,64.54166667
12/19/2016,56.0952381
12/20/2016,48.53333333
12/21/2016,54.3
12/22/2016,57.85714286
12/23/2016,74.7
12/24/2016,78.63636364
12/25/2016,94.3
12/26/2016,74.85714286
12/27/2016,67.55
12/28/2016,68.04347826
12/29/2016,87.85714286
12/30/2016,89.66666667
12/31/2016,87
1/1/2017,100
